Ürün Adı,Resim URL,Kategoriler
yulaf,https://images.openfoodfacts.org/images/products/869/507/709/2472/front_tr.3.400.jpg,Kategori Yok
mini cake,https://images.openfoodfacts.org/images/products/869/035/117/0334/front_tr.4.400.jpg,Kategori Yok
Bursa Muradiya,https://images.openfoodfacts.org/images/products/868/182/338/6056/front_fr.4.400.jpg,Kategori Yok
Omega 3-6-9,https://images.openfoodfacts.org/images/products/869/790/323/1741/front_fr.3.400.jpg,Kategori Yok
Choquise,https://images.openfoodfacts.org/images/products/871/917/984/3791/front_en.9.400.jpg,Kategori Yok
Delikatessen Sauerkonserven,https://images.openfoodfacts.org/images/products/869/077/756/4007/front_en.6.400.jpg,"Plant-based foods and beverages, Plant-based foods, Canned foods, Fruits and vegetables based foods, Canned plant-based foods, Vegetables based foods, Canned vegetables"
Dardanel,Resim Yok,Kategori Yok
Will ananas meyveli icecek,https://images.openfoodfacts.org/images/products/869/507/708/5429/front_en.9.400.jpg,Kategori Yok
Eau gazeuse au citron,https://images.openfoodfacts.org/images/products/869/139/570/0013/front_fr.3.400.jpg,Kategori Yok
Ma Sante Tiramisu,https://images.openfoodfacts.org/images/products/869/507/701/7895/front_tr.4.400.jpg,en:tiramisu
Activia,Resim Yok,Probiyotik Shot
Granola Chocolate Chips And Hazelnut,https://images.openfoodfacts.org/images/products/868/253/000/0204/front_en.19.400.jpg,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Chocolate cereals, Diet chocolate breakfast cereals"
Raw crakers,https://images.openfoodfacts.org/images/products/871/892/401/9481/front_fr.4.400.jpg,Kategori Yok
Halley,https://images.openfoodfacts.org/images/products/869/050/403/4032/front_fr.3.400.jpg,Kategori Yok
Beef,https://images.openfoodfacts.org/images/products/869/747/172/1019/front_en.5.400.jpg,"Meats and their products, Meats, Prepared meats, Cured sausages, Salami, Beef salami"
Magnesium Malate 1250 mg 180 Tab,Resim Yok,Kategori Yok
Arko Nem,Resim Yok,"Hazır yemek, en:Nems"
Cappy Cerise,https://images.openfoodfacts.org/images/products/544/900/024/9265/front_fr.4.400.jpg,Kategori Yok
no:1 Hazelnut,https://images.openfoodfacts.org/images/products/869/012/006/0187/front_en.6.400.jpg,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Bars, Biscuits and cakes, Chocolate candies, Biscuits, Chocolates, Chocolate biscuits, Milk chocolates, Wafers, Bars covered with chocolate, Stuffed wafers, Chocolate stuffed wafers, Chocolates with hazelnuts, Milk chocolates with hazelnuts"
Oat Bran,https://images.openfoodfacts.org/images/products/869/655/406/0373/front_fr.3.400.jpg,Kategori Yok
Special K,https://images.openfoodfacts.org/images/products/869/050/427/2328/front_en.6.400.jpg,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,mixed cereal flakes"
Rioba Kahve Cappuccino,https://images.openfoodfacts.org/images/products/869/623/611/0266/front_tr.4.400.jpg,Kahve
Monarch gold,https://images.openfoodfacts.org/images/products/871/459/961/0336/front_fr.3.400.jpg,Kategori Yok
Coated Cream Cake With Coconut,Resim Yok,Kategori Yok
la Vache qui rit,Resim Yok,Kategori Yok
Petit beurre biscuit Milk flavor,Resim Yok,Kategori Yok
Vitamin c,https://images.openfoodfacts.org/images/products/869/008/802/4955/front_fr.3.400.jpg,"Compléments alimentaires, Vitamines"
Freeze-Dried Strawberry,https://images.openfoodfacts.org/images/products/200/000/013/0657/front_en.8.400.jpg,"Snacks, Freeze-dried foods"
Spaghetti,https://images.openfoodfacts.org/images/products/869/743/088/5493/front_en.4.400.jpg,"Plant-based foods and beverages, Plant-based foods, Pastas"
Bar cake chocolat blanc,https://images.openfoodfacts.org/images/products/869/050/405/9899/front_en.3.400.jpg,Kategori Yok
Jack daniel's 1L,https://images.openfoodfacts.org/images/products/509/987/309/0183/front_fr.3.400.jpg,"Beverages, Alcoholic beverages, en:american-whiskeys"
Uludag limonata nane aromali,https://images.openfoodfacts.org/images/products/869/072/318/3504/front_fr.3.400.jpg,Kategori Yok
mahbuba coffee,https://images.openfoodfacts.org/images/products/869/941/543/1923/front_tr.7.400.jpg,en:coffees
Magnum mini almond,Resim Yok,Kategori Yok
cream,https://images.openfoodfacts.org/images/products/869/050/649/8863/front_tr.3.400.jpg,Kategori Yok
Findux,https://images.openfoodfacts.org/images/products/869/911/801/4713/front_fr.3.400.jpg,Hazelnut spreads
O deep,https://images.openfoodfacts.org/images/products/370/128/177/0015/front_fr.3.400.jpg,Kategori Yok
Natural Yoghurt,https://images.openfoodfacts.org/images/products/868/132/400/4039/front_en.3.400.jpg,en:yogurts
ETI FORM,https://images.openfoodfacts.org/images/products/869/052/609/4090/front_en.8.400.jpg,"Snacks, Salty snacks, Appetizers, Crackers, Wheat crackers, en:biscuits"
Schweppes Mandarin,https://images.openfoodfacts.org/images/products/000/004/210/4896/front_fr.3.400.jpg,Kategori Yok
Eti Finger Biscuit -,https://images.openfoodfacts.org/images/products/869/053/377/1021/front_en.6.400.jpg,en:biscuits
Lait de noisettes,Resim Yok,Kategori Yok
Haribo worms,Resim Yok,Kategori Yok
Aymen Hanune,Resim Yok,Kategori Yok
Master farm,https://images.openfoodfacts.org/images/products/868/219/085/3837/front_tr.3.400.jpg,Çerez
Krispi pops,https://images.openfoodfacts.org/images/products/869/050/411/6318/front_tr.4.400.jpg,Kategori Yok
ETI FORM,https://images.openfoodfacts.org/images/products/869/052/609/4090/front_en.8.400.jpg,"Snacks, Salty snacks, Appetizers, Crackers, Wheat crackers, en:biscuits"
O deep,https://images.openfoodfacts.org/images/products/370/128/177/0015/front_fr.3.400.jpg,Kategori Yok
Griz,Resim Yok,Kategori Yok
Cicibebe,https://images.openfoodfacts.org/images/products/869/053/302/1133/front_en.4.400.jpg,Kategori Yok
Pinar lait,https://images.openfoodfacts.org/images/products/000/008/690/3103/front_tr.4.400.jpg,
Biscolata,Resim Yok,Kategori Yok
Schweppes Mandarin,https://images.openfoodfacts.org/images/products/000/004/210/4896/front_fr.3.400.jpg,Kategori Yok
Berries,https://images.openfoodfacts.org/images/products/869/507/707/1576/front_tr.16.400.jpg,"Atıştırmalıklar, en:Sweet snacks, en:Confectioneries, en:Candies, en:Gummi candies, en:Jelly beans, Jelatin, Jelibon, Yumuşak şeker"
Tuborg,Resim Yok,"İçecekler, Alkollü içecekler, Bira, Speclal"
Lait de noisettes,Resim Yok,Kategori Yok
mate viva,https://images.openfoodfacts.org/images/products/000/009/044/8119/front_fr.4.400.jpg,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons gazeuses, Boissons aux fruits, Sodas, Sodas aux fruits"
yarim yagli eritme peyniri,https://images.openfoodfacts.org/images/products/869/238/850/6766/front_tr.4.400.jpg,Peynir
Ulker Biskrem Cocoa Biscuit,https://images.openfoodfacts.org/images/products/869/050/401/4201/front_fr.11.400.jpg,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits"
a,Resim Yok,Kategori Yok
bonaqua viva alma,Resim Yok,Kategori Yok
Metro,https://images.openfoodfacts.org/images/products/869/050/415/2071/front_en.7.400.jpg,Kategori Yok
Erdnuss Riegel,https://images.openfoodfacts.org/images/products/869/078/782/1015/front_en.4.400.jpg,Kategori Yok
Noix de Cajou,https://images.openfoodfacts.org/images/products/869/078/731/1059/front_fr.4.400.jpg,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Snacks salés, Fruits à coques et dérivés, Fruits à coques, Fruits à coque grillés, Fruits à coque salés, Noix de cajou, Noix de Cajou grillées, Noix de cajou salées"
Cafe Art,https://images.openfoodfacts.org/images/products/869/056/501/7616/front_fr.3.400.jpg,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Cafés"
Chocolate wafers,https://images.openfoodfacts.org/images/products/869/743/930/1000/front_en.4.400.jpg,Kategori Yok
Chocolat  60% Bitter Karadutlu,Resim Yok,Kategori Yok
MONIN Haselnuss Sirup Light,https://images.openfoodfacts.org/images/products/400/807/774/3352/front_de.19.400.jpg,Sirups
umran,https://images.openfoodfacts.org/images/products/869/050/405/0056/front_tr.8.400.jpg,Kategori Yok
Doritos Naco Pyenir,https://images.openfoodfacts.org/images/products/869/062/420/2281/front_fr.3.400.jpg,Kategori Yok
Chocolate marshmallow sandwich,https://images.openfoodfacts.org/images/products/869/172/000/6223/front_en.7.400.jpg,Kategori Yok
Latte,Resim Yok,Kategori Yok
Eti Finger Biscuit -,https://images.openfoodfacts.org/images/products/869/053/377/1021/front_en.6.400.jpg,en:biscuits
Magnum mini almond,Resim Yok,Kategori Yok
Bar cake chocolat blanc,https://images.openfoodfacts.org/images/products/869/050/405/9899/front_en.3.400.jpg,Kategori Yok
Ma Sante Tiramisu,https://images.openfoodfacts.org/images/products/869/507/701/7895/front_tr.4.400.jpg,en:tiramisu
Dardanel,Resim Yok,Kategori Yok
cream,https://images.openfoodfacts.org/images/products/869/050/649/8863/front_tr.3.400.jpg,Kategori Yok
bony vita,Resim Yok,Kategori Yok
Natural Yoghurt,https://images.openfoodfacts.org/images/products/868/132/400/4039/front_en.3.400.jpg,en:yogurts
Sour Rope Candy Apple Flavour,https://images.openfoodfacts.org/images/products/868/145/152/0815/front_en.16.400.jpg,"Snacks, Sweet snacks, Confectioneries, Candies"
