Ürün Adı,Resim URL,Kategoriler
RisoVital Whole Grain Rice,https://images.openfoodfacts.org/images/products/800/186/025/1061/front_fr.3.400.jpg,"Plant-based foods and beverages, Plant-based foods, en:rices"
Indomie Hot & Spicy Flavour,Resim Yok,"Plant-based foods and beverages, Plant-based foods, Pastas, Noodles, Chinese noodles, Flavoured dehydrated Asian noodles"
Bulghur pilaff,https://images.openfoodfacts.org/images/products/869/337/425/7235/front_en.10.400.jpg,Kategori Yok
Sirma Dogal Kaynak Suyu,https://images.openfoodfacts.org/images/products/869/105/814/1948/front_en.16.400.jpg,"Beverages, Waters"
olips,Resim Yok,Kategori Yok
Royal dessert,Resim Yok,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Herbal teas, Hibiscus"
Dankek Bites,https://images.openfoodfacts.org/images/products/869/076/606/4815/front_en.4.400.jpg,en:cakes
Sticks,https://images.openfoodfacts.org/images/products/869/052/606/4529/front_en.5.400.jpg,Kategori Yok
Labne,Resim Yok,Kategori Yok
Rulokat 9kat tat,Resim Yok,Gofret
Biscuits riches en vitamines,https://images.openfoodfacts.org/images/products/325/622/744/7723/front_fr.20.400.jpg,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits"
Bar cake,https://images.openfoodfacts.org/images/products/869/050/405/9844/front_en.12.400.jpg,
Krem peynir,https://images.openfoodfacts.org/images/products/869/507/700/2907/front_fr.3.400.jpg,Kategori Yok
Coca cream,https://images.openfoodfacts.org/images/products/869/743/930/1543/front_en.4.400.jpg,Kategori Yok
Et browni gold,https://images.openfoodfacts.org/images/products/869/052/606/9920/front_tr.16.400.jpg,Chocolate bars
koop uzun omurlu taze sut,https://images.openfoodfacts.org/images/products/869/200/519/0019/front_en.3.400.jpg,"Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Amaranth-based drinks"
VIVIDENT FULL  FRESH XXL,https://images.openfoodfacts.org/images/products/000/008/072/8863/front_fr.3.400.jpg,en:candies
Cay,https://images.openfoodfacts.org/images/products/869/010/500/0719/front_tr.13.400.jpg,"Bitkisel yiyecek ve içecekler, İçecekler, Sıcak içecekler, Bitkisel içecekler, Çay, Siyah çay"
premium,https://images.openfoodfacts.org/images/products/869/069/851/1678/front_tr.4.400.jpg,"Bitkisel yiyecek ve içecekler, Bitkisel yiyecekler, Tahıllar ve patates, Ekmek, Dilim ekmek"
"salca
yurdum 
yurdum salca",https://images.openfoodfacts.org/images/products/869/507/700/0873/front_en.4.400.jpg,Kategori Yok
Pismaniye,https://images.openfoodfacts.org/images/products/869/071/013/7411/front_en.22.400.jpg,"Snacks, Sweet snacks, en:cotton-candy"
Pferde,Resim Yok,en:Naturel car
Burcak,https://images.openfoodfacts.org/images/products/869/052/606/1108/front_en.4.400.jpg,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits"
Pop-kek with chocolate,https://images.openfoodfacts.org/images/products/869/052/603/3754/front_bg.9.400.jpg,"Закуски, Сладки закуски, en:Confectioneries"
Caramio Karamel,https://images.openfoodfacts.org/images/products/869/076/614/9949/front_tr.11.400.jpg,"Snacks, Sweet snacks, Cocoa and its products, Chocolates, en:caramel-chocolate-bars"
organik yumurta,https://images.openfoodfacts.org/images/products/869/918/252/2404/front_tr.4.400.jpg,Yumurta
Dattes,https://images.openfoodfacts.org/images/products/613/252/938/0586/front_en.56.400.jpg,"Plant-based foods and beverages, Plant-based foods, Fruits and vegetables based foods, Fruits based foods, Fruits, Dates, Deglet Noor dates, en:dried-fruits"
Peanut butter,https://images.openfoodfacts.org/images/products/869/102/606/0035/front_en.4.400.jpg,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Legume butters, Nut butters, Peanut butters"
Hazir noodle,https://images.openfoodfacts.org/images/products/868/090/802/0014/front_tr.7.400.jpg,noodle
Tazej,https://images.openfoodfacts.org/images/products/613/250/457/0162/front_fr.9.400.jpg,Kategori Yok
Kadaif 500 GR S. V. X 20 Arev,https://images.openfoodfacts.org/images/products/376/007/715/0219/front_fr.20.400.jpg,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Pastas, Pie dough, Phyllo dough, en:breads"
Canga,https://images.openfoodfacts.org/images/products/869/052/604/7256/front_fr.3.400.jpg,Kategori Yok
Kellogs granola klasik 340,https://images.openfoodfacts.org/images/products/868/253/000/0167/front_tr.9.400.jpg,granola
Assu,https://images.openfoodfacts.org/images/products/868/018/813/0076/front_fr.3.400.jpg,en:spring-waters
